sample_id,akkermansia,alistipes,bacteroides,bifidobacterium,faecalibacterium,lactobacillus,prevotella,roseburia
10317.000063164,0.0,0.0,13.0,0.0,4.0,49.0,45.0,0.0
10317.000005067,0.0,0.0,10.0,8.0,2.0,503.0,322.0,0.0
10317.000005457,0.0,0.0,26.0,0.0,117.0,108.0,886.0,0.0
10317.000032695,29963.0,57.0,56500.0,45.0,471.0,13.0,426.0,39.0
10317.000012313,161.0,0.0,14224.0,176.0,4238.0,13.0,59.0,163.0
10317.000001364,25.0,0.0,1394.0,199.0,258.0,0.0,8.0,120.0
10317.000002296,0.0,0.0,22.0,25.0,6.0,12.0,377.0,5.0
10317.000004865,1.0,0.0,8.0,7.0,1.0,6.0,891.0,0.0
10317.000015182,2.0,0.0,163.0,0.0,8.0,24.0,829.0,1.0
10317.000007119,57.0,17.0,1888.0,41.0,210.0,1054.0,1638.0,72.0
10317.000022091,4.0,0.0,8.0,1.0,1.0,1.0,4125.0,0.0
10317.000030769,3.0,0.0,654.0,13848.0,9808.0,2443.0,201.0,317.0
10317.000047236,420.0,6.0,879.0,790.0,5143.0,1.0,2.0,889.0
10317.000048352,221.0,0.0,3734.0,1.0,925.0,3.0,13.0,180.0
10317.000027856,19.0,21.0,3964.0,32.0,13638.0,9.0,137.0,141.0
10317.000031523,45.0,0.0,38338.0,134.0,5363.0,0.0,65.0,357.0
10317.000036138,12794.0,10.0,62542.0,37.0,326.0,0.0,236.0,6.0
10317.000030454,13.0,21.0,79738.0,18850.0,4028.0,1412.0,266.0,2448.0
10317.000022678,16.0,1.0,15176.0,257.0,45.0,151.0,64.0,9.0
10317.000026008,729.0,3.0,931.0,42.0,185.0,15.0,2342.0,478.0
10317.000022454,26.0,2.0,29425.0,17.0,748.0,5.0,82.0,93.0
10317.000036126,299.0,5.0,31599.0,100.0,27451.0,1493.0,173.0,1287.0
10317.000029621,1.0,0.0,943.0,64.0,591.0,12.0,24.0,30.0
10317.000009107,0.0,0.0,4.0,6.0,0.0,36.0,5.0,0.0
10317.000022679,24.0,0.0,178.0,176.0,42.0,19.0,44.0,85.0
10317.000030372,1658.0,512.0,54900.0,92.0,124.0,10.0,113.0,31.0
10317.000030072,255.0,22.0,16815.0,342.0,2575.0,0.0,74.0,65.0
10317.000028538,12.0,0.0,45528.0,3069.0,4844.0,2.0,44.0,73.0
